path	bytes	class	lines	han	punct	disposition	reason
.gitignore	61	text	6	0	0	drop	Ignore rules for a standalone repository root. This repository has its own
agents/openai.yaml	466	text	4	0	0	port	Required by scripts/validate.mjs, and inert in this runtime but too small to be worth diverging over
catalog.md	14410	text	108	1986	316	adapt	The lookup index the workflow depends on. It needs translation and re-pathing to the packet layout
color-presets.js	9888	text	179	763	103	translate	Block comments and the cn display-name field are Chinese. The name field is already the latin id, so behaviour is unaffected
docs/assets/color-palm-support-motion.gif	412405	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/color-palm-wave-motion.gif	466327	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/color-porcelain-almanac-motion.gif	1783106	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/color-porcelain-motion.gif	1037942	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/color-wire-hourglass-motion.gif	622011	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/color-wire-patchwork-motion.gif	612693	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/examples/r04-financial-report.zh.png	221753	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/glance-motion.gif	234967	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/glance-race-motion.gif	586056	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/glance-stroke-motion.gif	78713	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/glance-wave-motion.gif	44721	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/interactive-motion.gif	2479001	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/moxt-quick-start-en.png	62009	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/moxt-quick-start-zh.png	62629	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-basics-01.png	226774	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-basics-02.png	355269	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-palm-basics.png	76144	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-palm-glance.png	80460	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-palm.png	122280	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-porcelain-basics.png	140997	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-porcelain-glance.png	80396	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-porcelain.png	124801	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-wire-basics.png	73919	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-wire-glance.png	76930	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-color-wire.png	119377	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-glance-01.png	247612	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-glance-02.png	336511	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-glance-03.png	230410	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-lupi-01.png	265190	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-lupi-02.png	340168	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/preview-lupi-03.png	358310	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/readme-hero-en.png	81327	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
docs/assets/readme-hero-zh.png	80972	binary	0	0	0	drop	Preview imagery referenced only from the GitHub README surfaces, which do not cross over
