000-release-cleanup/001-release-readiness	003-skill-advisor-fail-open	001-skill-advisor-fail-open
000-release-cleanup/001-release-readiness	004-tier2-remediation	002-tier2-remediation
000-release-cleanup/001-release-readiness	032-release-readiness-deep-review-program	003-release-readiness-deep-review-program
000-release-cleanup/001-release-readiness	033-release-readiness-synthesis-and-remediation	004-release-readiness-synthesis-and-remediation
000-release-cleanup/001-release-readiness	035-remaining-p1-p2-remediation	005-remaining-p1-p2-remediation
000-release-cleanup/001-release-readiness	044-p1-p2-stress-remediation	006-p1-p2-stress-remediation
000-release-cleanup/002-audit	008-tanstack-security-audit	001-tanstack-security-audit
000-release-cleanup/002-audit	008-w3-w7-runtime-wiring-and-audit	002-w3-w7-runtime-wiring-and-audit
000-release-cleanup/002-audit	018-doc-truth-pass	003-doc-truth-pass
000-release-cleanup/002-audit	019-code-graph-watcher-retraction	004-code-graph-watcher-retraction
000-release-cleanup/002-audit	020-memory-retention-sweep	005-memory-retention-sweep
000-release-cleanup/002-audit	022-full-matrix-execution-validation	006-full-matrix-execution-validation
000-release-cleanup/002-audit	036-runtime-command-agent-alignment-review	007-runtime-command-agent-alignment-review
000-release-cleanup/002-audit	045-drift-finding-fixes	008-drift-finding-fixes
000-release-cleanup/003-cleanup	006-search-query-rag-optimization	002-search-query-rag-optimization
000-release-cleanup/003-cleanup	006-vitest-baseline-recovery	003-vitest-baseline-recovery
000-release-cleanup/003-cleanup	007-search-rag-measurement-driven-implementation	004-search-rag-measurement-driven-implementation
000-release-cleanup/003-cleanup	010-vestigial-embedding-readiness-gate-removal	005-vestigial-embedding-readiness-gate-removal
000-release-cleanup/003-cleanup	011-stale-doc-and-readme-fixes	006-stale-doc-and-readme-fixes
000-release-cleanup/003-cleanup	012-broad-suite-vitest-honesty	007-broad-suite-vitest-honesty
000-release-cleanup/003-cleanup	013-skdoc-legacy-template-debt-cleanup	008-skdoc-legacy-template-debt-cleanup
000-release-cleanup/003-cleanup	014-phase-parent-documentation	009-phase-parent-documentation
000-release-cleanup/003-cleanup	021-half-auto-upgrades	010-half-auto-upgrades
000-release-cleanup/003-cleanup	023-cli-matrix-adapter-runners	011-cli-matrix-adapter-runners
000-release-cleanup/003-cleanup	026-code-graph-catalog-and-playbook	012-code-graph-catalog-and-playbook
000-release-cleanup/003-cleanup	027-evergreen-doc-packet-id-removal	013-evergreen-doc-packet-id-removal
000-release-cleanup/003-cleanup	028-resource-maps-and-memory-finalization	014-resource-maps-and-memory-finalization
000-release-cleanup/003-cleanup	029-root-readme-refresh	015-root-readme-refresh
000-release-cleanup/003-cleanup	030-hook-plugin-per-runtime-testing	016-hook-plugin-per-runtime-testing
000-release-cleanup/003-cleanup	031-hook-test-sandbox-fix	017-hook-test-sandbox-fix
000-release-cleanup/003-cleanup	034-matrix-runners-snake-case-rename	018-matrix-runners-snake-case-rename
000-release-cleanup/003-cleanup	037-feature-catalog-shape-realignment	019-feature-catalog-shape-realignment
000-release-cleanup/003-cleanup	038-coco-index-feature-catalog	020-coco-index-feature-catalog
000-release-cleanup/003-cleanup	040-sk-doc-conformance-sweep-and-template-cleanup	021-sk-doc-conformance-sweep-and-template-cleanup
000-release-cleanup/003-cleanup	041-cli-skills-baseline-overlay-contract	022-cli-skills-baseline-overlay-contract
000-release-cleanup/003-cleanup	047-pre-existing-test-failure-remediation	023-pre-existing-test-failure-remediation
000-release-cleanup/003-cleanup	048-iter-001-daemon-concurrency-fixes	024-iter-001-daemon-concurrency-fixes
000-release-cleanup/003-cleanup	050-architecture-diagrams-and-topology	025-architecture-diagrams-and-topology
000-release-cleanup/003-cleanup	051-readme-code-template	026-readme-code-template
000-release-cleanup/003-cleanup	052-missing-code-readmes-resource-map	027-missing-code-readmes-resource-map
000-release-cleanup/003-cleanup	053-doc-alignment-and-readme-filling	028-doc-alignment-and-readme-filling
000-release-cleanup/003-cleanup	055-autoclean-orphan-files	029-autoclean-orphan-files
000-release-cleanup/003-cleanup	056-test-fixture-singular-to-plural-sweep	030-test-fixture-singular-to-plural-sweep
000-release-cleanup/003-cleanup	057-cocoindex-voyage-only-this-machine	031-cocoindex-voyage-only-this-machine
000-release-cleanup/004-followup-post-program	005-post-program-cleanup	001-post-program-cleanup
000-release-cleanup/004-followup-post-program	007-vitest-recovery-followup	002-vitest-recovery-followup
000-release-cleanup/004-followup-post-program	024-followup-quality-pass	003-followup-quality-pass
000-release-cleanup/004-followup-post-program	054-runtime-cleanup-followups	004-runtime-cleanup-followups
000-release-cleanup/005-stress-test	002-mcp-stress-cycle-cleanup	001-mcp-stress-cycle-cleanup
000-release-cleanup/005-stress-test	009-stress-test-pattern-documentation	002-stress-test-pattern-documentation
000-release-cleanup/005-stress-test	015-mcp-runtime-stress-remediation	003-mcp-runtime-stress-remediation
000-release-cleanup/005-stress-test	025-stress-test-folder-completion	004-stress-test-folder-completion
000-release-cleanup/005-stress-test	039-stress-test-expansion-and-alignment	005-stress-test-expansion-and-alignment
000-release-cleanup/005-stress-test	042-stress-coverage-audit-and-run	006-stress-coverage-audit-and-run
000-release-cleanup/005-stress-test	043-stress-test-gap-remediation	007-stress-test-gap-remediation
000-release-cleanup/006-research	016-automation-self-management-deep-research	001-automation-self-management-deep-research
000-release-cleanup/006-research	017-automation-reality-supplemental-research	002-automation-reality-supplemental-research
000-release-cleanup/006-research	046-system-deep-research-bugs-and-improvements	003-system-deep-research-bugs-and-improvements
000-release-cleanup/006-research	049-deep-research-finding-remediation	004-deep-research-finding-remediation
006-skill-advisor/001-skill-graph	002-skill-advisor-graph	001-skill-advisor-graph
006-skill-advisor/001-skill-graph	008-skill-graph-daemon-and-advisor-unification	002-skill-graph-daemon-and-advisor-unification
006-skill-advisor/001-skill-graph	018-skill-metadata-quality-audit	003-skill-metadata-quality-audit
006-skill-advisor/001-skill-graph	019-apply-metadata-fixes-and-resweep	004-apply-metadata-fixes-and-resweep
006-skill-advisor/001-skill-graph	021-populate-intent-signals-and-relationships	005-populate-intent-signals-and-relationships
006-skill-advisor/001-skill-graph	022-system-skill-advisor-extraction	006-system-skill-advisor-extraction
006-skill-advisor/001-skill-graph	026-cross-skill-auto-propagation	007-cross-skill-auto-propagation
006-skill-advisor/002-scorer	011-skill-advisor-hook-improvements	001-skill-advisor-hook-improvements
006-skill-advisor/002-scorer	013-skill-advisor-semantic-lane	002-skill-advisor-semantic-lane
006-skill-advisor/002-scorer	014-embed-cache-and-cosine-wiring	003-embed-cache-and-cosine-wiring
006-skill-advisor/002-scorer	015-ablation-sweep-and-promote	004-ablation-sweep-and-promote
006-skill-advisor/002-scorer	016-weight-sweep-harness	005-weight-sweep-harness
006-skill-advisor/002-scorer	017-corpus-seeded-sweep	006-corpus-seeded-sweep
006-skill-advisor/002-scorer	020-harder-intent-corpus-resweep	007-harder-intent-corpus-resweep
006-skill-advisor/002-scorer	023-advisor-routing-calibration	008-advisor-routing-calibration
006-skill-advisor/003-router	003-advisor-phrase-booster-tailoring	002-advisor-phrase-booster-tailoring
006-skill-advisor/003-router	005-smart-router-remediation-and-opencode-plugin	003-smart-router-remediation-and-opencode-plugin
006-skill-advisor/003-router	007-skill-advisor-hook-surface	004-skill-advisor-hook-surface
006-skill-advisor/003-router	012-skill-advisor-setup-command	005-skill-advisor-setup-command
006-skill-advisor/004-hardening	006-deferred-remediation-and-telemetry-run	001-deferred-remediation-and-telemetry-run
006-skill-advisor/004-hardening	009-skill-advisor-plugin-hardening	002-skill-advisor-plugin-hardening
006-skill-advisor/004-hardening	010-skill-advisor-standards-alignment	003-skill-advisor-standards-alignment
006-skill-advisor/004-hardening	025-cli-devin-skill-advisor-hook	004-cli-devin-skill-advisor-hook
006-skill-advisor/005-docs	004-skill-advisor-docs-and-code-alignment	001-skill-advisor-docs-and-code-alignment
006-skill-advisor/005-docs	024-code-folder-readmes	002-code-folder-readmes
006-skill-advisor/005-docs	025-doc-and-config-drift-fixes	003-doc-and-config-drift-fixes
